country_code,year,medal_count,country_name,gdp
AFG,2008,1,Afghanistan,10190529882.4878
AFG,2012,1,Afghanistan,20536542736.7297
ARG,1964,1,Argentina,25605249381.7597
ARG,1968,2,Argentina,26436857247.4982
ARG,1972,1,Argentina,34733000536.2862
ARG,1988,13,Argentina,126206817196.091
ARG,1992,2,Argentina,228788617201.696
ARG,1996,20,Argentina,272149750000
ARG,2000,20,Argentina,284203750000
ARG,2004,49,Argentina,164657930452.787
ARG,2008,51,Argentina,361558037110.419
ARG,2012,19,Argentina,545982375701.128
ARG,2016,22,Argentina,545476103427.247
ARM,1996,2,Armenia,1596968913.27897
ARM,2000,1,Armenia,1911563665.39006
ARM,2008,6,Armenia,11662040713.8753
ARM,2012,3,Armenia,10619320048.5857
ARM,2016,4,Armenia,10572298341.5618
AUS,1960,46,Australia,18593347519.3191
AUS,1964,44,Australia,23787658192.4068
AUS,1968,51,Australia,32687870982.1929
AUS,1972,20,Australia,52003504672.8972
AUS,1976,23,Australia,104974158578.092
AUS,1980,13,Australia,149887465181.059
AUS,1984,52,Australia,193503894222.061
AUS,1988,35,Australia,236135768335.274
AUS,1992,57,Australia,325692532492.502
AUS,1996,132,Australia,401819423368.74
AUS,2000,183,Australia,415446209885.072
AUS,2004,157,Australia,613329776639.636
AUS,2008,149,Australia,1055334825425.25
AUS,2012,114,Australia,1538194473087.23
AUS,2016,82,Australia,1204616439828.41
AUT,1960,3,Austria,6592693841.18495
AUT,1968,5,Austria,12440625312.8685
AUT,1972,3,Austria,22059612417.4058
AUT,1976,1,Austria,42959976068.1138
AUT,1980,5,Austria,82058912465.4329
AUT,1984,3,Austria,67985345161.9558
AUT,1988,1,Austria,133339397080.129
AUT,1992,6,Austria,195078126346.106
AUT,1996,3,Austria,237250948791.266
AUT,2000,4,Austria,196799778883.361
AUT,2004,8,Austria,300904221504.842
AUT,2008,3,Austria,430294287388.311
AUT,2016,2,Austria,390799991147.468
AZE,1996,1,Azerbaijan,3176749593.11788
AZE,2000,3,Azerbaijan,5272617196.04517
AZE,2004,5,Azerbaijan,8680472168.51531
AZE,2008,7,Azerbaijan,48852482960.0779
AZE,2012,10,Azerbaijan,69684317718.9409
AZE,2016,18,Azerbaijan,37847715736.0406
BDI,1996,1,Burundi,869033856.317093
BDI,2016,1,Burundi,3007029030.4001
BEL,1960,4,Belgium,11658722590.99
BEL,1964,3,Belgium,15960106680.6732
BEL,1968,3,Belgium,21376353113.475
BEL,1972,2,Belgium,37408591329.8506
BEL,1976,9,Belgium,71494539498.4326
BEL,1980,1,Belgium,127508202372.741
BEL,1984,5,Belgium,83795680815.4147
BEL,1988,2,Belgium,163167853538.124
BEL,1992,3,Belgium,236038384441.656
BEL,1996,6,Belgium,281358175895.766
BEL,2000,7,Belgium,237904919845.218
BEL,2004,3,Belgium,370885026074
BEL,2008,5,Belgium,518625897172.99
BEL,2012,3,Belgium,497884216568.867
BEL,2016,21,Belgium,467955709817.539
BLR,1996,23,Belarus,14756861538.4615
BLR,2000,22,Belarus,12736856827.9847
BLR,2004,15,Belarus,23141587717.7633
BLR,2008,29,Belarus,60763483146.0674
BLR,2012,23,Belarus,65685102554.8759
BLR,2016,12,Belarus,47407217531.162
BRA,1960,13,Brazil,15165569912.5199
BRA,1964,12,Brazil,21211892259.9904
BRA,1968,4,Brazil,33875881876.3672
BRA,1972,2,Brazil,58539008786.3684
BRA,1976,3,Brazil,152678020452.829
BRA,1980,9,Brazil,235024598983.261
BRA,1984,36,Brazil,209023912696.839
BRA,1988,23,Brazil,330397381998.489
BRA,1992,14,Brazil,400599250000
BRA,1996,63,Brazil,850425828275.793
BRA,2000,48,Brazil,655421153320.579
BRA,2004,40,Brazil,669316239316.239
BRA,2008,78,Brazil,1695824517395.57
BRA,2012,59,Brazil,2465188674415.03
BRA,2016,50,Brazil,1796186586414.45
BRN,2012,1,Brunei Darussalam,19048495518.5659
BRN,2016,2,Brunei Darussalam,11400653731.9916
CAN,1960,9,Canada,41093453544.9096
CAN,1964,5,Canada,48882938810.2204
CAN,1968,10,Canada,70759031841.7237
CAN,1972,11,Canada,113082820992.019
CAN,1976,23,Canada,206575564401.623
CAN,1984,87,Canada,355372558103.621
CAN,1988,23,Canada,507354351182.254
CAN,1992,44,Canada,592387689252.916
CAN,1996,50,Canada,628546387972.131
CAN,2000,31,Canada,742293448252.643
CAN,2004,17,Canada,1023196003074.56
CAN,2008,35,Canada,1549131208997.19
CAN,2012,55,Canada,1824288757447.57
CAN,2016,69,Canada,1529760492201.35
CHI,2000,17,Channel Islands,6439703434.71024
CHI,2004,4,Channel Islands,8553643354.08275
CHN,1984,74,China,259946510957.143
CHN,1988,52,China,312353631207.819
CHN,1992,82,China,426915712711.146
CHN,1996,106,China,863746717503.789
CHN,2000,79,China,1211346869605.24
CHN,2004,94,China,1955347004963.27
CHN,2008,184,China,4598206091384
CHN,2012,125,China,8560547314679.28
CHN,2016,113,China,11199145157649.2
CIV,1984,1,Cote d'Ivoire,6841638714.5454
CIV,2016,2,Cote d'Ivoire,36372613022.942
CMR,1968,1,Cameroon,1053077155.17925
CMR,1984,1,Cameroon,7801858825.18416
CMR,2000,18,Cameroon,10083937740.0624
CMR,2004,1,Cameroon,17430933517.2998
CMR,2008,1,Cameroon,26409781215.1844
COL,1972,3,Colombia,8671358732.68486
COL,1984,1,Colombia,38253120737.9671
COL,1988,1,Colombia,39212550050.4223
COL,1992,1,Colombia,49279585355.0948
COL,2000,1,Colombia,99886577330.7271
COL,2004,2,Colombia,117074863821.85
COL,2008,2,Colombia,243982436734.233
COL,2012,8,Colombia,369659697842.885
COL,2016,8,Colombia,282462551366.878
CUB,1972,22,Cuba,8135150891.92025
CUB,1976,24,Cuba,13789579902.5579
CUB,1980,20,Cuba,19912889861.1111
CUB,1992,69,Cuba,22085858243.2432
CUB,1996,55,Cuba,25017300000
CUB,2000,65,Cuba,30565400000
CUB,2004,62,Cuba,38203000000
CUB,2008,47,Cuba,60806300000
CUB,2012,14,Cuba,73141000000
CYP,2012,1,Cyprus,25041372221.5084
CZE,1996,13,Czech Republic,66985765439.1937
CZE,2000,9,Czech Republic,61649492816.5201
CZE,2004,13,Czech Republic,119162172468.268
CZE,2008,7,Czech Republic,235718586901.129
CZE,2012,14,Czech Republic,207376427020.815
CZE,2016,15,Czech Republic,195305084919.138
DJI,1988,1,Djibouti,395794538.630775
DOM,1984,1,Dominican Republic,10330399700
DOM,2004,1,Dominican Republic,22039232609.9553
DOM,2008,2,Dominican Republic,48288967303.4896
DOM,2012,2,Dominican Republic,60613645121.3529
DOM,2016,1,Dominican Republic,71583553487.5646
ECU,1996,1,Ecuador,25226393196.5983
ECU,2008,1,Ecuador,61762635000
EGY,1984,1,"Egypt, Arab Rep.",30642873038.0563
EGY,2004,5,"Egypt, Arab Rep.",78845185293.4964
EGY,2008,1,"Egypt, Arab Rep.",162818181818.182
EGY,2012,2,"Egypt, Arab Rep.",279372758361.832
EGY,2016,3,"Egypt, Arab Rep.",332791045963.807
ERI,2004,1,Eritrea,1109054005.43971
ESP,1960,14,Spain,12072126075.397
ESP,1972,1,Spain,58971806626.9739
ESP,1976,6,Spain,118185307386.222
ESP,1980,24,Spain,232134606637.271
ESP,1984,19,Spain,171635463361.623
ESP,1988,5,Spain,375138723325.239
ESP,1992,69,Spain,629202392003.901
ESP,1996,66,Spain,640998292394.588
ESP,2000,42,Spain,595402616546.895
ESP,2004,30,Spain,1069555500372.49
ESP,2008,70,Spain,1635015380108.39
ESP,2012,63,Spain,1336018949805.58
ESP,2016,45,Spain,1237255019653.86
EST,2000,3,Estonia,5685774808.80862
EST,2004,3,Estonia,12059201242.236
EST,2008,3,Estonia,24194039255.8957
EST,2012,2,Estonia,23043864510.0543
EST,2016,4,Estonia,23337907618.5174
ETH,1992,3,Ethiopia,10492993077.6093
ETH,1996,3,Ethiopia,8547939730.62374
ETH,2000,8,Ethiopia,8242392103.68061
ETH,2004,7,Ethiopia,10131187261.4421
ETH,2008,7,Ethiopia,27066912635.2228
ETH,2012,7,Ethiopia,43310721414.0829
ETH,2016,8,Ethiopia,72374224249.3997
FIN,1960,6,Finland,5224102195.52771
FIN,1964,5,Finland,7766655085.78588
FIN,1968,4,Finland,8823033880.32993
FIN,1972,10,Finland,14754136507.0261
FIN,1976,6,Finland,31873171718.726
FIN,1980,9,Finland,53685049410.2646
FIN,1984,12,Finland,52926394934.7052
FIN,1988,4,Finland,109103056147.832
FIN,1992,7,Finland,112625431377.754
FIN,1996,4,Finland,132099404607.818
FIN,2000,5,Finland,125539893126.958
FIN,2004,2,Finland,196768065557.487
FIN,2008,5,Finland,283742493042.332
FIN,2012,5,Finland,256706466091.089
FIN,2016,1,Finland,238502900311.9
FRA,1960,12,France,62651474946.6007
FRA,1964,31,France,94906593388.3107
FRA,1968,27,France,129847107787.883
FRA,1972,22,France,204283485045.514
FRA,1976,20,France,373410270417.919
FRA,1980,29,France,703525302701.025
FRA,1984,67,France,532648802822.187
FRA,1988,29,France,1023504019381.13
FRA,1992,57,France,1408724907063.2
FRA,1996,51,France,1614245416078.98
FRA,2000,66,France,1368438363736.87
FRA,2004,53,France,2124112242364.04
FRA,2008,77,France,2923465651091.26
FRA,2012,82,France,2681416108537.39
