country_code,year,medal_count,country_name,gdp,athlete_count,ratio
AFG,2008,1,Afghanistan,10190529882.4878,4,0.25
AFG,2012,1,Afghanistan,20536542736.7297,6,0.16666666666666666
ARG,1964,1,Argentina,25605249381.7597,170,0.0058823529411764705
ARG,1968,2,Argentina,26436857247.4982,144,0.013888888888888888
ARG,1972,1,Argentina,34733000536.2862,129,0.007751937984496124
ARG,1988,13,Argentina,126206817196.091,179,0.07262569832402235
ARG,1992,2,Argentina,228788617201.696,157,0.012738853503184714
ARG,1996,20,Argentina,272149750000,221,0.09049773755656108
ARG,2000,20,Argentina,284203750000,165,0.12121212121212122
ARG,2004,49,Argentina,164657930452.787,179,0.2737430167597765
ARG,2008,51,Argentina,361558037110.419,145,0.35172413793103446
ARG,2012,19,Argentina,545982375701.128,148,0.12837837837837837
ARG,2016,22,Argentina,545476103427.247,232,0.09482758620689655
ARM,1996,2,Armenia,1596968913.27897,38,0.05263157894736842
ARM,2000,1,Armenia,1911563665.39006,26,0.038461538461538464
ARM,2008,6,Armenia,11662040713.8753,26,0.23076923076923078
ARM,2012,3,Armenia,10619320048.5857,31,0.0967741935483871
ARM,2016,4,Armenia,10572298341.5618,34,0.11764705882352941
AUS,1960,46,Australia,18593347519.3191,318,0.14465408805031446
AUS,1964,44,Australia,23787658192.4068,406,0.10837438423645321
AUS,1968,51,Australia,32687870982.1929,231,0.22077922077922077
AUS,1972,20,Australia,52003504672.8972,278,0.07194244604316546
AUS,1976,23,Australia,104974158578.092,293,0.07849829351535836
AUS,1980,13,Australia,149887465181.059,209,0.06220095693779904
AUS,1984,52,Australia,193503894222.061,357,0.14565826330532214
AUS,1988,35,Australia,236135768335.274,375,0.09333333333333334
AUS,1992,57,Australia,325692532492.502,431,0.13225058004640372
AUS,1996,132,Australia,401819423368.74,550,0.24
AUS,2000,183,Australia,415446209885.072,788,0.23223350253807107
AUS,2004,157,Australia,613329776639.636,601,0.2612312811980033
AUS,2008,149,Australia,1055334825425.25,570,0.2614035087719298
AUS,2012,114,Australia,1538194473087.23,514,0.22178988326848248
AUS,2016,82,Australia,1204616439828.41,518,0.1583011583011583
AUT,1960,3,Austria,6592693841.18495,240,0.0125
AUT,1968,5,Austria,12440625312.8685,171,0.029239766081871343
AUT,1972,3,Austria,22059612417.4058,211,0.014218009478672985
AUT,1976,1,Austria,42959976068.1138,189,0.005291005291005291
AUT,1980,5,Austria,82058912465.4329,158,0.03164556962025317
AUT,1984,3,Austria,67985345161.9558,235,0.01276595744680851
AUT,1988,1,Austria,133339397080.129,249,0.004016064257028112
AUT,1992,6,Austria,195078126346.106,248,0.024193548387096774
AUT,1996,3,Austria,237250948791.266,92,0.03260869565217391
AUT,2000,4,Austria,196799778883.361,114,0.03508771929824561
AUT,2004,8,Austria,300904221504.842,92,0.08695652173913043
AUT,2008,3,Austria,430294287388.311,93,0.03225806451612903
AUT,2016,2,Austria,390799991147.468,85,0.023529411764705882
AZE,1996,1,Azerbaijan,3176749593.11788,24,0.041666666666666664
AZE,2000,3,Azerbaijan,5272617196.04517,32,0.09375
AZE,2004,5,Azerbaijan,8680472168.51531,37,0.13513513513513514
AZE,2008,7,Azerbaijan,48852482960.0779,44,0.1590909090909091
AZE,2012,10,Azerbaijan,69684317718.9409,59,0.1694915254237288
AZE,2016,18,Azerbaijan,37847715736.0406,69,0.2608695652173913
BDI,1996,1,Burundi,869033856.317093,7,0.14285714285714285
BDI,2016,1,Burundi,3007029030.4001,10,0.1
BEL,1960,4,Belgium,11658722590.99,150,0.02666666666666667
BEL,1964,3,Belgium,15960106680.6732,85,0.03529411764705882
BEL,1968,3,Belgium,21376353113.475,106,0.02830188679245283
BEL,1972,2,Belgium,37408591329.8506,109,0.01834862385321101
BEL,1976,9,Belgium,71494539498.4326,160,0.05625
BEL,1980,1,Belgium,127508202372.741,90,0.011111111111111112
BEL,1984,5,Belgium,83795680815.4147,95,0.05263157894736842
BEL,1988,2,Belgium,163167853538.124,86,0.023255813953488372
BEL,1992,3,Belgium,236038384441.656,110,0.02727272727272727
BEL,1996,6,Belgium,281358175895.766,81,0.07407407407407407
BEL,2000,7,Belgium,237904919845.218,94,0.07446808510638298
BEL,2004,3,Belgium,370885026074,70,0.04285714285714286
BEL,2008,5,Belgium,518625897172.99,112,0.044642857142857144
BEL,2012,3,Belgium,497884216568.867,142,0.02112676056338028
BEL,2016,21,Belgium,467955709817.539,138,0.15217391304347827
BLR,1996,23,Belarus,14756861538.4615,259,0.0888030888030888
BLR,2000,22,Belarus,12736856827.9847,231,0.09523809523809523
BLR,2004,15,Belarus,23141587717.7633,192,0.078125
BLR,2008,29,Belarus,60763483146.0674,237,0.12236286919831224
BLR,2012,23,Belarus,65685102554.8759,185,0.12432432432432433
BLR,2016,12,Belarus,47407217531.162,142,0.08450704225352113
BRA,1960,13,Brazil,15165569912.5199,86,0.1511627906976744
BRA,1964,12,Brazil,21211892259.9904,65,0.18461538461538463
BRA,1968,4,Brazil,33875881876.3672,89,0.0449438202247191
BRA,1972,2,Brazil,58539008786.3684,104,0.019230769230769232
BRA,1976,3,Brazil,152678020452.829,89,0.033707865168539325
BRA,1980,9,Brazil,235024598983.261,149,0.06040268456375839
BRA,1984,36,Brazil,209023912696.839,197,0.18274111675126903
BRA,1988,23,Brazil,330397381998.489,233,0.09871244635193133
BRA,1992,14,Brazil,400599250000,249,0.05622489959839357
BRA,1996,63,Brazil,850425828275.793,251,0.250996015936255
BRA,2000,48,Brazil,655421153320.579,236,0.2033898305084746
BRA,2004,40,Brazil,669316239316.239,318,0.12578616352201258
BRA,2008,78,Brazil,1695824517395.57,338,0.23076923076923078
BRA,2012,59,Brazil,2465188674415.03,306,0.19281045751633988
BRA,2016,50,Brazil,1796186586414.45,583,0.08576329331046312
BRN,2012,1,Brunei Darussalam,19048495518.5659,14,0.07142857142857142
BRN,2016,2,Brunei Darussalam,11400653731.9916,33,0.06060606060606061
CAN,1960,9,Canada,41093453544.9096,215,0.04186046511627907
CAN,1964,5,Canada,48882938810.2204,289,0.01730103806228374
CAN,1968,10,Canada,70759031841.7237,402,0.024875621890547265
CAN,1972,11,Canada,113082820992.019,429,0.02564102564102564
CAN,1976,23,Canada,206575564401.623,640,0.0359375
CAN,1984,87,Canada,355372558103.621,663,0.13122171945701358
CAN,1988,23,Canada,507354351182.254,693,0.03318903318903319
CAN,1992,44,Canada,592387689252.916,631,0.06973058637083994
CAN,1996,50,Canada,628546387972.131,408,0.12254901960784313
CAN,2000,31,Canada,742293448252.643,422,0.07345971563981042
CAN,2004,17,Canada,1023196003074.56,391,0.043478260869565216
CAN,2008,35,Canada,1549131208997.19,449,0.0779510022271715
CAN,2012,55,Canada,1824288757447.57,354,0.1553672316384181
CAN,2016,69,Canada,1529760492201.35,405,0.17037037037037037
CHI,2000,17,Channel Islands,6439703434.71024,58,0.29310344827586204
