country_code,year,medal_count,GDP
AFG,2008,1,10190529882.4878
ARG,1988,13,126206817196.091
ARG,1992,2,228788617201.696
ARG,1996,20,272149750000
ARG,2000,20,284203750000
ARG,2004,47,164657930452.787
ARG,2008,51,361558037110.419
ARM,1996,2,1596968913.27897
ARM,2000,1,1911563665.39006
ARM,2008,6,11662040713.8753
AUS,1976,24,104974158578.092
AUS,1980,12,149887465181.059
AUS,1984,50,193503894222.061
AUS,1988,34,236135768335.274
AUS,1992,57,325692532492.502
AUS,1996,132,401819423368.74
AUS,2000,183,415446209885.072
AUS,2004,157,613329776639.636
AUS,2008,149,1055334825425.25
AUT,1976,1,42959976068.1138
AUT,1980,5,82058912465.4329
AUT,1984,3,67985345161.9558
AUT,1988,1,133339397080.129
AUT,1992,6,195078126346.106
AUT,1996,3,237250948791.266
AUT,2000,4,196799778883.361
AUT,2004,8,300904221504.842
AUT,2008,3,430294287388.311
AZE,1996,1,3176749593.11788
AZE,2000,3,5272617196.04517
AZE,2004,5,8680472168.51531
AZE,2008,7,48852482960.0779
BDI,1996,1,869033856.317093
BEL,1976,9,71494539498.4326
BEL,1980,1,127508202372.741
BEL,1984,5,83795680815.4147
BEL,1988,2,163167853538.124
BEL,1992,3,236038384441.656
BEL,1996,6,281358175895.766
BEL,2000,7,237904919845.218
BEL,2004,3,370885026074
BEL,2008,5,518625897172.99
BLR,1996,23,14756861538.4615
BLR,2000,22,12736856827.9847
BLR,2004,17,23141587717.7633
BLR,2008,30,60763483146.0674
BRA,1976,3,152678020452.829
BRA,1980,9,235024598983.261
BRA,1984,37,209023912696.839
BRA,1988,28,330397381998.489
BRA,1992,14,400599250000
BRA,1996,64,850425828275.793
BRA,2000,48,655421153320.579
BRA,2004,40,669316239316.239
BRA,2008,75,1695824517395.57
CAN,1976,20,206575564401.623
CAN,1984,86,355372558103.621
CAN,1988,21,507354351182.254
CAN,1992,44,592387689252.916
CAN,1996,51,628546387972.131
CAN,2000,31,742293448252.643
CAN,2004,17,1023196003074.56
CAN,2008,34,1549131208997.19
CHI,2000,18,6439703434.71024
CHI,2004,4,8553643354.08275
CHN,1984,76,259946510957.143
CHN,1988,53,312353631207.819
CHN,1992,83,426915712711.146
CHN,1996,110,863746717503.789
CHN,2000,79,1211346869605.24
CHN,2004,94,1955347004963.27
CHN,2008,184,4598206091384
CIV,1984,1,6841638714.5454
CMR,1984,1,7801858825.18416
CMR,2000,18,10083937740.0624
CMR,2004,1,17430933517.2998
CMR,2008,1,26409781215.1844
COL,1984,1,38253120737.9671
COL,1988,1,39212550050.4223
COL,1992,1,49279585355.0948
COL,2000,1,99886577330.7271
COL,2004,2,117074863821.85
COL,2008,2,243982436734.233
CUB,1976,24,13789579902.5579
CUB,1980,20,19912889861.1111
CUB,1992,71,22085858243.2432
CUB,1996,57,25017300000
CUB,2000,69,30565400000
CUB,2004,61,38203000000
CUB,2008,47,60806300000
CZE,1996,13,66985765439.1937
CZE,2000,9,61649492816.5201
CZE,2004,12,119162172468.268
CZE,2008,7,235718586901.129
DJI,1988,1,395794538.630775
DOM,1984,1,10330399700
DOM,2004,1,22039232609.9553
DOM,2008,2,48288967303.4896
