id,sex,age,height,weight,team,country_code,games,year,season,medal
4,M,34,NA,NA,Denmark/Sweden,DEN,1900 Summer,1900,Summer,Gold
15,M,30,NA,NA,Finland,FIN,1920 Summer,1920,Summer,Bronze
15,M,30,NA,NA,Finland,FIN,1920 Summer,1920,Summer,Bronze
17,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,Bronze
17,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,Gold
17,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,Gold
17,M,28,175,64,Finland,FIN,1948 Summer,1948,Summer,Gold
17,M,32,175,64,Finland,FIN,1952 Summer,1952,Summer,Bronze
21,F,27,163,NA,Norway,NOR,2008 Summer,2008,Summer,Gold
25,M,24,NA,NA,Norway,NOR,1920 Summer,1920,Summer,Silver
29,F,22,NA,NA,Netherlands,NED,1988 Summer,1988,Summer,Bronze
30,M,26,189,72,Netherlands,NED,1996 Summer,1996,Summer,Silver
37,F,23,182,64,Norway,NOR,1996 Summer,1996,Summer,Bronze
38,M,20,NA,NA,Norway,NOR,1920 Summer,1920,Summer,Silver
42,M,25,NA,NA,Taifun,NOR,1912 Summer,1912,Summer,Gold
56,M,21,NA,NA,France,FRA,1956 Summer,1956,Summer,Gold
62,M,21,198,90,Italy,ITA,2016 Summer,2016,Summer,Bronze
63,M,30,194,87,Spain,ESP,2008 Summer,2008,Summer,Bronze
65,F,21,165,49,Azerbaijan,AZE,2016 Summer,2016,Summer,Bronze
67,F,22,179,80,Russia,RUS,2008 Summer,2008,Summer,Silver
72,M,28,180,83,Belarus,BLR,2008 Summer,2008,Summer,Gold
73,M,23,182,86,France,FRA,2008 Summer,2008,Summer,Gold
73,M,27,182,86,France,FRA,2012 Summer,2012,Summer,Gold
73,M,31,182,86,France,FRA,2016 Summer,2016,Summer,Silver
76,M,22,185,82,Cameroon,CMR,2000 Summer,2000,Summer,Gold
80,M,22,186,83,Spain,ESP,1996 Summer,1996,Summer,Gold
84,M,26,165,55,United States,USA,2004 Summer,2004,Summer,Silver
85,M,28,181,82,Spain,ESP,1980 Summer,1980,Summer,Gold
86,M,26,182,67,Spain,ESP,1984 Summer,1984,Summer,Bronze
90,F,21,163,60,Russia,RUS,2004 Summer,2004,Summer,Silver
93,M,38,190,85,France,FRA,2008 Summer,2008,Summer,Gold
99,M,30,181,79,Hungary,HUN,1992 Summer,1992,Summer,Silver
100,M,22,NA,NA,Hungary,HUN,1936 Summer,1936,Summer,Bronze
103,M,25,NA,NA,Italy,ITA,1936 Summer,1936,Summer,Bronze
106,M,22,188,96,Italy,ITA,1988 Summer,1988,Summer,Gold
