country_code,year,medal_count,death_rate
AFG,2008,1,237.5095918951293
AFG,2012,1,207.38870222109674
ARG,1992,2,45.70004430232637
ARG,1996,20,43.19155251966903
ARG,2000,20,42.73940102751991
ARG,2004,49,41.1329308765786
ARG,2008,51,38.336821050402975
ARG,2012,19,36.006210287911955
ARG,2016,22,31.838073425521078
ARM,1996,2,106.76469709853134
ARM,2000,1,93.84658134365908
ARM,2008,6,81.78156822279996
ARM,2012,3,72.48638652217669
ARM,2016,4,64.86230501424498
AUS,1992,57,25.70745496366259
AUS,1996,132,23.04465163005374
AUS,2000,183,19.39821909636532
AUS,2004,157,16.34769749023735
AUS,2008,149,14.646833010905398
AUS,2012,114,12.659725312034098
AUS,2016,82,10.586439853479725
AUT,1992,6,34.7505220834778
AUT,1996,3,32.553410382125755
AUT,2000,4,29.14994519549931
AUT,2004,8,26.059428326258526
AUT,2008,3,22.77524311531383
AUT,2016,2,17.812976640233504
AZE,1996,1,126.7403623497629
AZE,2000,3,111.7348178618593
AZE,2004,5,109.27693809169088
AZE,2008,7,97.72392920774243
AZE,2012,10,89.90256184417429
AZE,2016,18,80.7165557943871
BDI,1996,1,233.2424051317994
BDI,2016,1,144.35628994473123
BEL,1992,3,37.95673593766118
BEL,1996,6,34.75089994035246
BEL,2000,7,32.37665767377515
BEL,2004,3,28.770306153529884
BEL,2008,5,26.06965397635318
BEL,2012,3,23.06005561514013
BEL,2016,21,19.272908553596018
BLR,1996,23,79.7972639586836
BLR,2000,22,77.95938517050145
BLR,2004,15,78.84639850384417
BLR,2008,29,70.04607007920916
BLR,2012,23,60.024917471278044
BLR,2016,12,50.78554254856133
BRA,1992,14,69.97593942904952
BRA,1996,63,60.677567773167105
BRA,2000,48,50.9968563242018
BRA,2004,40,45.22023967329941
BRA,2008,78,39.40700664459148
BRA,2012,59,35.39068712491836
BRA,2016,50,30.349578155443645
BRN,2012,1,29.52440600015166
BRN,2016,2,20.478625328003286
CAN,1992,44,23.009470509058634
CAN,1996,50,22.18101304647748
CAN,2000,31,20.264862852606562
CAN,2004,17,18.40919357387859
CAN,2008,35,16.51813805891428
CAN,2012,55,13.829675583586221
CAN,2016,69,11.002674780961692
CHN,1992,82,177.2834671803102
CHN,1996,106,155.38579494335812
CHN,2000,79,133.13668522384467
CHN,2004,94,118.0011858408618
CHN,2008,184,95.43912890437898
CHN,2012,125,85.77144183514751
CHN,2016,113,74.70570934957617
CIV,2016,2,123.02454755770036
CMR,2000,18,163.63020246237429
CMR,2004,1,156.97417645269013
CMR,2008,1,147.02824304823068
COL,1992,1,53.92457020883623
COL,2000,1,40.42246475201321
COL,2004,2,38.0569881361012
COL,2008,2,33.07322475298272
COL,2012,8,26.588128214090606
COL,2016,8,22.415220772082826
CUB,1992,69,52.56296003149388
CUB,1996,55,50.897232868337
CUB,2000,65,43.999918929156735
CUB,2004,62,40.69539010240443
CUB,2008,47,37.76451813649393
CUB,2012,14,34.17961436755158
CUB,2016,11,32.94971454020374
CYP,2012,1,29.41645465883507
CZE,1996,13,54.78861829827335
CZE,2000,9,46.86383997288032
CZE,2004,13,42.35643632291407
CZE,2008,7,38.46517075514859
CZE,2012,14,34.859637210577304
CZE,2016,15,30.791526739212106
DOM,2004,1,36.62518859735959
DOM,2008,2,36.77349054900893
DOM,2012,2,36.152273749783006
DOM,2016,1,37.686763633898266
ECU,1996,1,40.58898169043892
ECU,2008,1,36.873884870516186
EGY,2004,5,119.21321128008917
EGY,2008,1,115.87345283435319
EGY,2012,2,113.4428130123153
EGY,2016,3,114.10889105390818
ERI,2004,1,171.22997919164624
ESP,1992,69,30.192931845612765
ESP,1996,66,27.965041501985258
ESP,2000,42,25.27931282894245
ESP,2004,30,22.73765548521124
ESP,2008,70,19.940107676471055
ESP,2012,63,17.15335626660779
ESP,2016,45,14.776496470057172
EST,1992,3,53.836478570178556
EST,2000,3,42.948624015714664
EST,2004,3,37.251026764338064
EST,2008,3,29.229273515827437
EST,2012,2,20.836374403574347
EST,2016,4,15.982268164677272
ETH,1992,3,156.74357428637774
ETH,1996,3,162.06369922243405
ETH,2000,8,165.80155055575605
ETH,2004,7,151.36059800644742
ETH,2008,7,127.59151136207089
ETH,2012,7,105.1935257431625
ETH,2016,8,90.64138256531291
FIN,1992,7,25.37529128243032
FIN,1996,4,21.461426062714256
FIN,2000,5,18.68085077967553
FIN,2004,2,15.723124248383803
FIN,2008,5,13.455365666140956
FIN,2012,5,10.633956851571511
FIN,2016,1,8.40169621134432
FRA,1992,57,24.55018438465525
FRA,1996,51,22.4384733371714
FRA,2000,66,20.264763518349074
FRA,2004,53,17.80167122540499
FRA,2008,77,16.32853943912251
FRA,2012,82,14.629071244600873
FRA,2016,96,11.967906775869775
GAB,2012,1,77.44657036373395
GBR,1992,50,40.194807372847606
GBR,1996,26,36.64872973904437
GBR,2000,54,31.372650063627308
GBR,2004,57,26.560149433791427
GBR,2008,81,23.082248742556626
GBR,2012,126,19.48783946129366
GBR,2016,145,17.89133733863719
GEO,1996,2,88.52012502825593
GEO,2000,6,86.19364055259082
GEO,2004,4,86.77750346464875
GEO,2008,6,81.2932456160621
GEO,2012,7,72.9425228163371
GEO,2016,7,70.0353734834092
GHA,1992,20,127.86046639298924
HUN,1992,45,76.19265751437521
HUN,1996,43,65.5979372580432
HUN,2000,53,58.23102229755155
HUN,2004,40,54.800949559643314
HUN,2008,27,51.669149254782894
HUN,2012,26,46.54151388767903
HUN,2016,22,40.53679743524542
IND,1996,1,187.942661528214
IND,2000,1,175.9397185755657
IND,2004,1,151.57150286192956
IND,2008,3,147.32481232703338
IND,2012,6,141.78317718011994
IND,2016,2,134.64393837108747
IRL,1992,2,42.033824346950276
IRL,1996,4,38.72795298122563
IRL,2000,1,34.39086279198148
IRL,2008,3,21.542376616362958
IRL,2012,5,18.087507043427888
IRL,2016,3,14.82763004157547
ISL,2000,1,17.66700620131772
ISL,2008,14,13.865183248741106
ISR,1992,2,45.83059192913305
ISR,1996,1,39.61968519928718
ISR,2000,1,37.776877565790485
ISR,2004,2,31.66398013506779
ISR,2008,1,27.40718847645787
ISR,2016,2,21.322639861469522
ITA,1992,45,33.40706761446104
ITA,1996,71,29.554347675259244
ITA,2000,65,26.70705469065152
ITA,2004,104,23.773135317036687
ITA,2008,42,21.610835576368007
ITA,2012,68,19.548885201204893
ITA,2016,72,17.030851166842936
JAM,1992,4,47.416885900572126
JAM,1996,16,48.26572607894791
JAM,2000,23,46.56254732365795
JAM,2004,13,38.675553420883254
JAM,2008,14,38.930246438419466
JAM,2012,25,38.736722671068094
JAM,2016,30,42.42710728919807
JOR,2016,1,39.668979892924014
JPN,1992,47,24.063597183639317
JPN,1996,42,20.44749867336275
JPN,2000,44,17.808813010030114
JPN,2004,93,16.03013089866563
JPN,2008,51,14.865089128986085
JPN,2012,84,13.262562621970325
JPN,2016,64,11.340931868004894
KAZ,1996,11,104.40494667527885
KAZ,2000,7,91.07928729382868
KAZ,2004,8,87.82014186085098
KAZ,2008,13,76.41874662210061
KAZ,2012,13,63.74417312847067
KAZ,2016,18,52.639266403361646
KEN,1992,8,124.91131526593362
KEN,1996,8,121.83310744269913
KEN,2000,7,122.09710695049434
KEN,2004,7,119.80116072841356
KEN,2008,15,112.41768754749279
KEN,2012,11,103.1214931533754
KEN,2016,13,92.04585121892661
KGZ,2000,1,119.60918474001683
KGZ,2008,2,106.7079087007878
KOR,1992,49,49.24111143940294
KOR,1996,66,42.145111234852386
KOR,2000,73,41.42906395218284
KOR,2004,52,36.50769672517716
KOR,2008,78,29.644190967484292
KOR,2012,61,25.947490487736488
KOR,2016,26,21.884708352766697
LTU,1992,13,56.60546760926675
LTU,1996,11,53.90154631497748
LTU,2000,17,44.77774234153415
LTU,2004,3,45.08066974475728
LTU,2008,5,46.03313045629631
LTU,2012,5,38.143727694605936
LTU,2016,7,33.548517631413205
MAR,1992,3,86.13035537708167
MAR,1996,2,85.61302641569593
MAR,2000,5,83.37212750417444
MAR,2004,3,79.47116698363621
MAR,2008,2,76.38271305221302
MAR,2012,1,68.86991730759809
MAR,2016,1,68.43200523651471
MDA,1996,3,113.29876508191315
MDA,2000,2,96.3070186605768
MDA,2008,1,75.12039394173442
MDA,2012,2,60.3284851796358
MEX,1992,1,60.99804440523653
MEX,1996,1,58.33915052094814
MEX,2000,6,51.94815752742264
MEX,2004,4,49.610416541823014
MEX,2008,4,47.7004139422465
MEX,2012,24,46.37679719123764
MEX,2016,5,44.73708440571189
MKD,2000,1,75.64114886523276
MNE,2012,14,50.45517453187439
MOZ,1996,1,184.7822661886028
MOZ,2000,1,170.9906861609582
NAM,1992,2,140.0658037021601
NAM,1996,2,139.8999238704417
NOR,1992,23,26.17853511244381
NOR,1996,23,22.94427345844558
NOR,2000,43,21.23275945162043
NOR,2004,7,17.824780275101865
NOR,2008,22,16.168879460768064
NOR,2012,17,13.863696553528671
NOR,2016,19,10.855094877469543
NZL,1992,15,23.217823830479666
NZL,1996,9,21.159884791734356
NZL,2000,4,17.124090397275484
NZL,2004,6,15.14823603670798
NZL,2008,15,13.217102491687566
NZL,2012,27,10.912242298356157
NZL,2016,36,8.646934412209875
PAK,1992,16,148.65603835486007
PAN,2008,1,26.514853228190766
PER,1992,1,76.08968903301961
POL,1992,46,77.21727677419985
POL,1996,22,66.24334024731024
POL,2000,24,56.15625983242533
POL,2004,12,50.05660357618017
POL,2008,20,47.216339452959105
POL,2012,12,40.73207265419584
POL,2016,16,35.09465572067202
PRK,1992,10,160.5070110375303
PRK,1996,5,170.18887758815413
PRK,2000,4,181.9027782979605
PRK,2004,5,176.36250612274728
PRK,2008,6,164.08747398639107
PRK,2012,6,153.20885892461507
PRK,2016,7,142.63436198327207
QAT,1992,1,132.75174299240567
QAT,2000,1,117.22164013393828
QAT,2012,2,71.45039386552867
QAT,2016,1,62.04042744836082
ROU,1992,53,89.03010508479329
ROU,1996,38,86.94458278544326
ROU,2000,46,70.186707136138
ROU,2004,39,62.687503349252225
ROU,2008,22,53.110940078361246
ROU,2012,16,45.54557436211496
ROU,2016,16,40.79870077511529
RUS,1996,115,74.98906916084016
RUS,2000,187,75.16086571892743
RUS,2004,189,76.2284659878175
RUS,2008,142,65.86957409246567
RUS,2012,140,51.27870147404287
RUS,2016,115,43.76386603444572
SGP,2008,3,29.18305657697714
SGP,2012,4,24.163979869428708
SGP,2016,1,19.932635819194875
SRB,2008,15,76.559956486415075
SRB,2012,16,72.77353584867892
SRB,2016,54,63.988774383850966
SUR,1992,1,69.1518430207965
SVK,1996,3,62.63671372145151
SVK,2000,6,57.91105667848787
SVK,2004,10,53.042693153246866
SVK,2008,10,50.04299155847037
SVK,2012,5,41.48737790804382
SVK,2016,8,35.80706769758997
SWE,1992,35,21.40880133589553
SWE,1996,31,18.97549889432246
SWE,2000,32,17.382270666349704
SWE,2004,12,15.432583780081451
SWE,2008,7,13.918423512674638
SWE,2012,22,11.211472560658724
SWE,2016,28,9.280194026324793
SYR,1996,1,89.75123550245094
SYR,2004,1,69.31603065429613
THA,1992,1,78.5098811604248
THA,1996,2,70.81261319879687
THA,2000,3,58.425620756117006
THA,2004,8,49.02629897482352
THA,2008,4,43.15141795015135
THA,2012,3,37.66813809005544
THA,2016,6,33.060405561149175
TJK,2008,2,103.91173749019387
TJK,2012,1,97.3802105595311
TJK,2016,1,94.42678374640046
TTO,1996,2,83.98595097196949
TTO,2000,2,74.41305803767122
TTO,2004,1,68.64569915914132
TTO,2008,6,62.07789224968325
TTO,2012,10,50.210971717911896
TTO,2016,1,51.57747791657147
TUN,1996,1,69.82021833984977
TUN,2008,1,54.89706560161365
TUN,2012,3,51.42527246985999
TUN,2016,3,52.418097566033126
TUR,1992,6,91.53089616366272
TUR,1996,6,81.3059864210619
TUR,2000,5,65.82079254754753
TUR,2004,11,53.91543043352576
TUR,2008,7,50.78737289051264
TUR,2012,5,50.24447584268449
TUR,2016,8,47.881273224413576
UGA,1996,1,156.4597940847321
UGA,2012,1,105.0211169927651
UKR,1996,34,100.94693841802496
UKR,2000,35,89.8444662333548
UKR,2004,47,87.89856876745449
UKR,2008,31,83.19835961173418
UKR,2012,26,65.81095493378028
UKR,2016,15,67.76833734551823
USA,1992,224,30.27920292684471
USA,1996,259,29.992712369654072
USA,2000,242,29.107688889261976
USA,2004,263,26.965197767784062
USA,2008,317,24.654823568542454
USA,2012,248,21.981942629312762
USA,2016,264,18.805666182240937
