city,year,sport,discipline,event,gender,country_code,country,event_gender,medal,GDP
Montreal,1976,Aquatics,Diving,3m springboard,Men,USA,United States,M,Gold,1877587000000
Montreal,1976,Aquatics,Diving,3m springboard,Men,ITA,Italy,M,Silver,223976030937.427
Montreal,1976,Aquatics,Diving,10m platform,Women,USA,United States,W,Bronze,1877587000000
Montreal,1976,Aquatics,Diving,10m platform,Men,USA,United States,M,Silver,1877587000000
Montreal,1976,Aquatics,Diving,3m springboard,Women,USA,United States,W,Bronze,1877587000000
Montreal,1976,Aquatics,Diving,10m platform,Men,ITA,Italy,M,Gold,223976030937.427
Montreal,1976,Aquatics,Diving,10m platform,Women,SWE,Sweden,W,Silver,88102107647.0993
Montreal,1976,Aquatics,Diving,3m springboard,Women,USA,United States,W,Gold,1877587000000
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Women,USA,United States,W,Gold,1877587000000
Montreal,1976,Aquatics,Swimming,400m freestyle,Men,USA,United States,M,Silver,1877587000000
Montreal,1976,Aquatics,Swimming,1500m freestyle,Men,AUS,Australia,M,Bronze,104974158578.092
Montreal,1976,Aquatics,Swimming,800m freestyle,Women,USA,United States,W,Silver,1877587000000
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Women,CAN,Canada,W,Bronze,206575564401.623
Montreal,1976,Aquatics,Swimming,200m backstroke,Men,USA,United States,M,Silver,1877587000000
Montreal,1976,Aquatics,Swimming,400m freestyle,Men,USA,United States,M,Gold,1877587000000
Montreal,1976,Aquatics,Swimming,400m individual medley,Men,USA,United States,M,Silver,1877587000000
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Men,CAN,Canada,M,Silver,206575564401.623
Montreal,1976,Aquatics,Swimming,200m freestyle,Men,USA,United States,M,Bronze,1877587000000
Montreal,1976,Aquatics,Swimming,100m butterfly,Men,USA,United States,M,Gold,1877587000000
Montreal,1976,Aquatics,Swimming,100m backstroke,Men,USA,United States,M,Gold,1877587000000
Montreal,1976,Aquatics,Swimming,100m backstroke,Men,USA,United States,M,Silver,1877587000000
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Men,GBR,United Kingdom,M,Bronze,232614555256.065
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Men,USA,United States,M,Gold,1877587000000
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Men,CAN,Canada,M,Silver,206575564401.623
Montreal,1976,Aquatics,Swimming,100m butterfly,Men,USA,United States,M,Bronze,1877587000000
Montreal,1976,Aquatics,Swimming,400m individual medley,Women,CAN,Canada,W,Bronze,206575564401.623
Montreal,1976,Aquatics,Swimming,200m backstroke,Women,CAN,Canada,W,Bronze,206575564401.623
Montreal,1976,Aquatics,Swimming,800m freestyle,Women,USA,United States,W,Bronze,1877587000000
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Men,USA,United States,M,Gold,1877587000000
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Women,CAN,Canada,W,Bronze,206575564401.623
Montreal,1976,Aquatics,Swimming,4x100m medley relay,Women,USA,United States,W,Silver,1877587000000
Montreal,1976,Aquatics,Swimming,4x200m freestyle relay,Men,GBR,United Kingdom,M,Bronze,232614555256.065
Montreal,1976,Aquatics,Swimming,200m breaststroke,Men,GBR,United Kingdom,M,Gold,232614555256.065
Montreal,1976,Aquatics,Swimming,4x100m freestyle relay,Women,USA,United States,W,Gold,1877587000000
